(545, -602)
(459, -986)
(-101, 134)
(355, 592)
(723, 863)
(-824, -596)
(-995, -821)
(-358, 695)
(769, 664)
(-267, 259)
(-879, 900)
(872, 203)
(390, -131)
(659, -712)
(817, -679)
(-385, -671)
(163, -134)
(435, 519)
(-457, -864)
(217, 872)
(401, 442)
(-166, -244)
(219, 795)
(47, -393)
(143, -786)
(805, -3)
(-432, -511)
(-255, 973)
(945, -452)
(-32, -561)
(998, -408)
(946, -603)
(211, 128)
(742, -442)
(71, 164)
(-159, 844)
(-924, 403)
(-251, -549)
(-625, 866)
(992, 78)
(101, 442)
(130, 865)
(949, 111)
(-875, -372)
(-792, 858)
(177, -981)
(-631, 69)
(-940, -663)
(-628, 287)
(963, 744)
(-453, 733)
(-471, -936)
(109, 983)
(-694, -927)
(-149, -201)
(-978, 599)
(252, 528)
(-391, -282)
(68, -672)
(-431, 114)
(-739, 182)
(917, 491)
(375, -139)
(-964, 164)
(35, -936)
(366, -899)
(-346, 30)
(-861, -193)
(516, 329)
(-537, 203)
(-96, -904)
(-971, 829)
(102, -778)
(953, 679)
(672, -606)
(-243, 246)
(790, 598)
(731, 771)
(-90, 987)
(-949, 681)
(-673, 51)
(-462, 97)
(34, 349)
(363, -885)
(-383, 79)
(-624, -99)
(-158, 593)
(341, -540)
(-956, 195)
(-412, 301)
(10, 842)
(-771, -680)
(246, -642)
(-106, -970)
(804, 268)
(-102, 356)
(-731, 193)
(-453, 372)
(484, -901)
(517, 965)
(869, 479)
(-343, -503)
(192, 943)
(980, 192)
(-69, 481)
(-74, -143)
(-858, 697)
(393, -818)
(313, 290)
(-347, -589)
(310, -346)
(155, 583)
(-591, 750)
(140, -744)
(786, 514)
(908, -121)
(-413, -691)
(-848, 421)
(-984, -452)
(-288, -930)
(-242, -657)
(933, -954)
(-665, -788)
(138, -867)
(-375, -887)
(-761, -838)
(-773, -127)
(7, 244)
(-103, 81)
(-487, 23)
(-934, -430)
(95, -803)
(424, 201)
(-927, 159)
(928, 850)
(312, 408)
(481, -219)
(82, 665)
(-728, 876)
(-818, -983)
(24, -250)
(-411, -925)
(-793, -978)
(-602, -946)
(-884, -546)
(409, 554)
(606, 978)
(-969, -724)
(832, 813)
(-759, 184)
(463, -182)
(-347, 652)
(-797, 508)
(618, -275)
(219, -750)
(-274, -530)
(777, 86)
(840, -532)
(297, 920)
(-713, -12)
(360, -841)
(794, 871)
(-863, 432)
(-888, 965)
(385, -952)
(-351, -96)
(-482, -732)
(958, 124)
(-983, 101)
(162, 825)
(185, 319)
(-548, -604)
(-981, 223)
(15, 442)
(-787, -780)
(608, 112)
(-338, 5)
(364, 116)
(-269, -97)
(-828, -158)
(922, -129)
(-802, 186)
(768, -380)
(-636, -959)
(684, 680)
(849, -80)
(-172, 337)
(668, 830)
(569, -180)
(601, -436)
(-224, -610)
(719, 92)
(-351, -495)
(-785, 781)
(-739, 106)
(166, 974)
(-762, -287)
(622, 613)
(-715, 139)
(-137, -469)
(-441, 22)
(-867, 161)
(973, -553)
(155, -725)
(178, -514)
(-475, -424)
(757, -166)
(944, -235)
(461, -26)
(561, 311)
(-215, -767)
(-285, -92)
(63, -878)
(-196, -525)
(-406, -123)
(-157, -174)
(-383, -529)
(317, 252)
(657, -345)
(-159, 969)
(-5, 518)
(328, -533)
(-538, -634)
(434, 531)
(-784, 737)
(410, -904)
(-202, -230)
(-765, 158)
(503, 443)
(-749, -464)
(401, -462)
(804, 352)
(-506, -479)
(163, -695)
(24, -507)
(-688, -37)
(120, -722)
(663, 197)
(-74, 849)
(-140, 12)
(973, 680)
(-9, -11)
(473, -502)
(-210, 84)
(358, -746)
(942, 810)
(592, -100)
(712, 852)
(397, 127)
(-5, 151)
(-387, 700)
(-530, -115)
(301, 950)
(817, 617)
(290, -995)
(-842, -150)
(-139, -85)
(190, -875)
(588, 151)
(-577, -431)
(568, -785)
(196, 966)
(-611, 223)
(-917, 151)
(-886, 764)
(-142, -703)
(456, 220)
(58, -845)
(-290, 266)
(119, -912)
(184, -21)
(-428, -350)
(629, -583)
(612, -763)
(863, -162)
(-920, -343)
(-719, 222)
(256, 40)
(370, -237)
(-596, 302)
(-62, 94)
(-595, -294)
(432, -749)
(741, 900)
(-48, -807)
(616, 564)
(956, 561)
(309, 344)
(167, -468)
(-160, 247)
(-141, -478)
(-887, 2)
(870, -131)
(504, -967)
(503, -281)
(362, 280)
(426, 257)
(680, -792)
(-41, 814)
(-650, 191)
(497, -257)
(-601, 317)
(707, 241)
(-42, -732)
(434, 293)
(-190, -779)
(971, 90)
(880, 419)
(541, 312)
(-75, -319)
(838, -428)
(-171, -14)
(668, -652)
(31, -314)
(21, 952)
(-718, 644)
(-764, -79)
(196, -280)
(73, 457)
(540, 916)
(756, -905)
(371, 755)
(401, 560)
(434, -347)
(855, -642)
(-300, -91)
(-878, -463)
(812, -474)
(-482, -308)
(257, -804)
(525, -930)
(-965, -796)
(891, 502)
(-893, 772)
(-552, -988)
(398, 645)
(-63, -248)
(710, 229)
(-88, 384)
(576, -402)
(900, 335)
(562, -485)
(-995, -854)
(668, 919)
(847, -704)
(-736, -790)
(263, -53)
(322, -878)
(587, 510)
(-286, -545)
(954, -458)
(816, 189)
(533, -96)
(-230, -587)
(-189, 103)
(877, -652)
(501, 255)
(-576, -290)
(813, -748)
(-730, -249)
(-437, -252)
(652, 841)
(-157, -983)
(-721, -747)
(583, 469)
(-49, -836)
(-246, 389)
(-872, 396)
(17, -541)
(-593, 958)
(-366, -678)
(-833, -418)
(235, -457)
(127, 756)
(-637, -811)
(-740, 882)
(473, -191)
(38, 593)
(480, 379)
(911, 306)
(792, -151)
(701, 361)
(284, -342)
(-564, -868)
(-789, -480)
(212, -956)
(-259, -194)
(565, 73)
(-341, -365)
(306, 453)
(-810, 603)
(-770, 126)
(417, -224)
(-409, -447)
(782, -529)
(954, 239)
(367, 83)
(-41, -44)
(-61, 950)
(762, 56)
(-444, 825)
(-3, -449)
(-85, -662)
(-628, -586)
(124, -602)
(-360, 118)
(418, -875)
(-999, -135)
(955, -402)
(175, -535)
(-322, -906)
(-164, -791)
(753, -644)
(223, 692)
(236, -150)
(-377, 446)
(923, 398)
(686, -896)
(-407, 557)
(-278, 652)
(-112, -966)
(-454, 952)
(-139, -74)
(15, 822)
(-928, 789)
(-37, 471)
(-625, 958)
(350, -993)
(-756, -833)
(-217, -277)
(996, 311)
(968, 147)
(-733, 854)
(175, -887)
(-309, 640)
(710, 599)
(-97, -603)
(279, 731)
(-98, 255)
(-342, 753)
(5, 668)
(113, 62)
(444, 464)
(494, -467)
(548, 269)
(156, 622)
(109, -644)
(-608, -121)
(447, 958)
(977, -773)
(-773, 782)
(-369, 343)
(-509, 530)
(-32, 692)
(-529, -802)
(14, -503)
(250, 808)
(-199, -376)
(312, -690)
(-65, -288)
(-536, 696)
(-461, -92)
(13, 301)
(447, -871)
(560, 489)
(201, 737)
(267, -53)
(-381, -858)
(346, 481)
(-387, 352)
(-123, -751)
(510, -880)
(-662, 758)
(-818, -433)
(-845, 334)
(397, 17)
(-157, 159)
(2, 949)
(-967, -121)
(845, 357)
(604, 215)
(521, -133)
(10, 685)
(-143, 615)
(-577, -337)
(-767, 547)
(-347, 905)
(-524, -503)
(-638, 177)
(629, 868)
(-779, -342)
(439, -374)
(-186, 93)
(-140, 254)
(-993, 317)
(857, 364)
(-595, -859)
(-251, -65)
(759, 312)
(-718, 373)
(-131, 550)
(847, 739)
(119, -45)
(952, -449)
(101, -562)
(293, 174)
(496, 815)
(299, -980)
(526, -757)
(-198, -327)
(819, -540)
(-403, 321)
(715, 164)
(478, 432)
(-345, -446)
(883, -603)
(-264, 922)
(894, 905)
(581, -12)
(-993, -362)
(-461, 842)
(-95, -697)
(784, 90)
(272, -249)
(-353, 327)
(-260, 611)
(982, -160)
(60, -578)
(328, -681)
(209, 396)
(981, 240)
(908, -532)
(-357, -23)
(-722, 413)
(-359, -19)
(-850, -278)
(-406, -443)
(207, 818)
(-859, -417)
(965, 447)
(-363, -883)
(-504, -4)
(829, 499)
(961, 477)
(-110, -328)
(-162, -87)
(-470, 136)
(681, 252)
(523, -441)
(-907, 417)
(-887, 451)
(392, 552)
(-749, -225)
(-873, 621)
(-42, -337)
(424, -999)
(954, -712)
(-689, -853)
(-733, -209)
(-265, -510)
(446, 509)
(383, 352)
(784, 236)
(447, 686)
(760, 524)
(-912, 982)
(733, -908)
(14, 646)
(-234, 148)
(967, -704)
(-411, -469)
(-591, -153)
(393, 246)
(623, -790)
(881, 494)
(550, -926)
(-724, 157)
(424, -846)
(-197, -583)
(476, -110)
(-117, -696)
(-965, -956)
(427, 731)
(618, 859)
(644, 113)
(86, -292)
(620, 106)
(126, 495)
(-418, 687)
(744, -987)
(-506, -41)
(387, 770)
(-476, -947)
(823, 640)
(-314, -115)
(-131, 196)
(-508, -892)
(-869, -755)
(-568, 497)
(714, 351)
(-546, 761)
(964, -993)
(-555, 183)
(-234, -224)
(89, 827)
(135, 605)
(-286, -980)
(636, -672)
(-510, 272)
(635, -285)
(211, 762)
(315, -877)
(613, -444)
(-881, -427)
(524, 389)
(611, 277)
(994, 919)
(-227, -943)
(905, 200)
(-137, 691)
(96, 515)
(691, 503)
(-814, 198)
(-385, 128)
(870, 750)
(-717, -696)
(55, 387)
(-459, 755)
(-437, 888)
(999, 312)
(468, 520)
(64, -405)
(176, -840)
(-519, -125)
(-145, -654)
(-85, 799)
(287, 942)
(-82, -142)
(-676, 680)
(-910, -835)
(-95, -905)
(-785, 298)
(228, -341)
(533, 405)
(901, -393)
(-55, -568)
(55, 703)
(711, 780)
(-258, 679)
(-362, -235)
(-216, 574)
(-113, 427)
(-393, -845)
(-612, 246)
(-682, -35)
(786, 103)
(300, 278)
(82, -79)
(918, -92)
(834, -501)
(-504, 815)
(578, -542)
(-188, -515)
(-443, 251)
(550, 51)
(-115, 54)
(78, 413)
(-28, 237)
(245, 109)
(8, 372)
(792, 506)
(-980, 957)
(98, -540)
(177, 286)
(-1000, -334)
(334, 749)
(123, -268)
(-810, 552)
(-731, 724)
(-742, -318)
(-534, -704)
(-833, -490)
(-506, -416)
(-777, -621)
(-804, 9)
(-948, -506)
(884, 504)
(865, 543)
(-256, -641)
(-892, 614)
(998, 328)
(420, 665)
(-80, -518)
(-65, -932)
(611, 237)
(-284, -571)
(-901, -904)
(-469, 766)
(-543, -808)
(31, 552)
(-733, 404)
(626, 913)
(-453, -536)
(449, -483)
(203, 480)
(223, -754)
(-303, 649)
(-609, 395)
(-581, -445)
(153, -672)
(-316, 984)
(62, -396)
(375, -814)
(-263, 546)
(-214, -881)
(-103, 525)
(-106, -940)
(893, -371)
(560, 907)
(-679, -97)
(819, -676)
(-268, 552)
(-704, 59)
(-857, 48)
(329, 913)
(-573, 631)
(935, 831)
(417, 261)
(-934, -574)
(-615, -292)
(-638, -384)
(954, 923)
(138, 994)
(334, 113)
(-197, 937)
(-919, 287)
(-665, 953)
(-717, 583)
(245, 905)
(912, 254)
(697, 678)
(179, 254)
(666, 390)
(-375, 989)
(57, 205)
(-659, 877)
(681, -113)
(-201, -112)
(31, 593)
(-492, 640)
(-671, 360)
(-714, -247)
(-666, 324)
(268, 394)
(298, 683)
(860, 597)
(-279, -354)
(-332, -509)
(799, -699)
(-514, 216)
(-173, 343)
(631, -797)
(696, 208)
(-46, 750)
(923, 189)
(475, 280)
(222, -196)
(-942, 656)
(-928, 794)
(872, 16)
(213, -179)
(11, 799)
(-540, 690)
(943, -646)
(-719, 388)
(754, -695)
(614, -544)
(-148, 535)
(-190, -395)
(755, 499)
(-6, 871)
(-747, 57)
(743, 125)
(-565, -165)
(36, -491)
(593, 523)
(-515, -589)
(961, 412)
(-590, 366)
(737, -223)
(-723, -948)
(-734, -152)
(136, -860)
(930, 865)
(-665, -814)
(-47, -195)
(-935, -30)
(702, -252)
(252, 96)
(-650, 188)
(-275, 424)
(-35, 344)
(-243, 138)
(-202, 660)
(-16, 50)
(135, -875)
(858, 702)
(-787, 352)
(304, -644)
(512, -393)
(-450, -115)
(820, 174)
(722, 831)
(587, 897)
(204, -642)
(-377, 339)
(-233, -856)
(664, -153)
(-330, 302)
(-547, -850)
(454, -466)
(498, -230)
(290, 257)
(719, -32)
(-535, -228)
(-6, 540)
(646, -810)
(338, -970)
(-192, 538)
(940, -721)
(-503, 968)
(-990, 660)
(-844, 41)
(-327, 81)
(643, -657)
(654, -954)
(-169, 680)
(-71, -58)
(917, 355)
(-191, -1000)
(-737, -924)
(230, -992)
(596, 148)
(-443, -861)
(-315, 548)
(481, 607)
(851, 26)
(-670, -605)
(-73, 990)
(111, 921)
(417, 810)
(-922, -621)
(10, 216)
(-926, 722)
(-224, -658)
(226, -139)
(-683, -371)
(-844, 803)
(696, 57)
(-181, -727)
(410, -474)
(-262, -372)
(-132, 705)
(968, -645)
(328, 4)
(430, -707)
(-285, 337)
(-685, 369)
(-995, -423)
(-89, 991)
(809, 470)
(953, -427)
(728, -812)
(-894, -294)
(-456, -686)
(729, -381)
(-175, -841)
(953, -793)
(-980, -626)
(-916, 888)
(768, -607)
(-653, 216)
(-852, 803)
(470, -973)
(407, -15)
(-820, 924)
(446, -172)
(-886, -670)
(412, 953)
(228, 567)
(-597, 611)
(-421, -383)
(-386, 295)
(514, 102)
(-421, 828)
(-249, 510)
(-329, -582)
(-421, -718)
(-42, -539)
(74, -251)
(362, -464)
(783, 234)
(149, -358)
(625, -371)
(872, -77)
(-912, -90)
(441, 841)
(-99, -878)
(234, -177)
(-714, -870)
(-783, 287)
(-145, 14)
(-729, 573)
(745, 253)
(-750, -72)
(304, 514)
(-309, -729)
(-717, 121)
(65, 60)
(-722, -239)
(50, 35)
(-653, -530)
(662, -323)
(725, -247)
(488, -491)
(-973, 187)
(-468, -166)
(-32, -810)
(-769, -349)
(-563, -936)
(742, 577)
(-280, -597)
(-603, -210)
(66, -926)
(-723, -301)
(-540, 221)
(476, -277)
(-255, 456)
(-462, -551)
(-392, -639)
(-557, -277)
(-470, -11)
(493, -60)
(579, 111)
(221, -957)
(-227, 308)
(-384, -313)
(-944, 432)
(760, 154)
(-990, 890)
(-238, -843)
(-398, 213)
(-863, -381)
(131, -282)
(584, 505)
(-97, 736)
(-852, 406)
(-339, -443)
(787, -175)
(828, 778)
(-756, 368)
(324, -786)
(628, 459)
(499, -162)
(-545, -463)
(-522, 914)
(297, -16)
(-289, -212)
(314, -977)
(-104, 776)
(-56, 513)
(578, 885)
(-903, -215)
(-762, -680)
(895, 352)
(425, 90)
(-63, -352)
(-744, 841)
(-746, 900)
(509, -943)
(358, -676)
(-973, 996)
(857, -589)
(583, 381)
(-495, -287)
(962, 258)
(236, 937)
(-208, 34)
(575, -720)
(-797, -413)
(-100, 191)
(678, -102)
(731, 88)
(-664, 254)
(-73, -549)
(27, -79)
(-645, 633)
(-859, 247)
(-784, 547)
(54, -676)
(664, 116)
(728, -184)
(725, -384)
(267, -812)
(-852, 6)
(957, 125)
(891, 226)
(-852, 734)
(754, -277)
(-167, -686)
(483, -311)
(-836, 994)
(-305, 747)
(-185, -159)
(-304, -197)
(-726, 897)
(746, 504)
(-733, 482)
(-441, 580)
(-84, 777)
(129, -357)
(-176, -822)
(214, -524)
(669, 695)
(-170, 553)
(-92, -433)
(770, 623)
(895, -602)
(614, -541)
(631, 917)
(-45, -105)
(-612, 660)
(-422, 325)
(131, 719)
(490, 582)
(-931, -400)
(-677, -264)
(-835, 337)
(-245, -444)
(-345, -475)
(87, -929)
(326, -306)
(89, -666)
(937, 335)
(-47, -776)
(986, 45)
(-17, 916)
(418, -914)
(924, -834)
(-252, 920)
(531, 207)
(-578, -834)
(187, -787)
(-752, 690)
(666, 675)
(686, 344)
(-438, -998)
(485, 622)
(525, 671)
(-549, -865)
(477, 158)
(360, 389)
(981, 211)
(-943, -794)
(680, 118)
(-821, 164)
(953, -202)
(-636, 519)
(-258, 217)
(255, 914)
(219, -656)
(-395, 402)
(-451, -521)
(799, 755)
(-976, -366)
(-68, 945)
(-728, -414)
(735, -19)
(-907, -658)
(-494, 271)
(179, 742)
(943, -764)
(-352, 622)
(89, 101)
(792, 240)
(-137, 959)
(492, -630)
(-282, 986)
(320, 887)
(-779, 379)
(-76, 270)
(-432, 264)
(-746, -744)
(978, 585)
(-200, 818)
(570, 434)
(-636, -919)
(526, 608)
(-182, -512)
(-897, 420)
(611, 263)
(-293, 167)
(-702, -216)
(-38, 309)
(-115, -997)
(270, 98)
(881, 913)
(617, -815)
(54, -936)
(472, 505)
(97, 414)
(484, 463)
(813, -688)
(-346, -960)
(598, -527)
(731, 147)
(-159, -285)
(426, 850)
(-953, -417)
(-478, 849)
(-522, 632)
(95, 925)
(-290, 47)
(-811, 658)
(64, -467)
(167, -204)
(-679, -846)
(-375, 583)
(-386, -9)
(-87, -999)
(-338, -642)
(42, -877)
(28, -905)
(740, 292)
(736, -694)
(601, 485)
(441, -586)
(204, -349)
(712, -376)
(-598, -833)
(352, -276)
(-555, -470)
(-302, -171)
(462, -129)
(72, 290)
(749, 986)
(-382, 353)
(871, -757)
(-513, -590)
(-606, -523)
(75, 660)
(823, -8)
(-3, -592)
(191, -620)
(300, -56)
(252, -788)
(-704, -272)
(-918, -408)
(802, -218)
(412, -59)
(-179, -810)
(144, -415)
(-122, -25)
(-208, 923)
(-294, -894)
(-175, -387)
(28, -722)
(-819, 396)
(477, 930)
(-838, -736)
(411, 815)
(-910, 876)
(526, -769)
(449, -361)
(-953, -43)
(315, -890)
(390, 752)
(754, -370)
(478, 47)
(-957, 978)
(486, 110)
(202, 183)
(692, -89)
(-125, -263)
(414, 733)
(-187, 132)
(42, 482)
(-559, -552)
(995, 592)
(545, -538)
(179, -642)
(-124, 385)
(-689, 543)
(-817, 912)
(799, -106)
(889, 913)
(-250, 533)
(461, -938)
(954, -550)
(-994, -46)
(-948, -652)
(347, -51)
(-180, 555)
(-815, 154)
(34, -421)
(541, 702)
(87, -688)
(-333, 919)
(163, -163)
(696, 727)
(650, 715)
(739, -721)
(448, 342)
(-40, 440)
(-930, -34)
(-365, -500)
(420, -19)
(310, -771)
(-425, 730)
(251, -345)
(596, -177)
(-862, 585)
(244, -126)
(-82, 827)
(-750, -356)
(662, 921)
(731, 523)
(-333, -632)
(-647, -296)
(348, -943)
(96, -984)
(917, -379)
(829, -42)
(-975, -813)
(-991, 60)
(-435, -450)
(-215, 331)
(919, 154)
(504, 823)
(511, -692)
(77, 121)
(-270, -260)
(-73, -278)
(-793, 374)
(737, -941)
(-886, 839)
(-721, 736)
(-13, -911)
(-42, -545)
(22, 845)
(-696, -887)
(738, -593)
(937, -783)
(-894, -332)
(546, -828)
(260, 537)
(-925, 299)
(955, -954)
(-805, 298)
(679, -327)
(214, -370)
(-217, 954)
(-633, -542)
(-667, -621)
(10, -474)
(-362, -939)
(356, -657)
(-359, -610)
(-60, -577)
(758, 599)
(-503, 99)
(-560, -870)
(-224, -984)
(749, -371)
(885, -728)
(-315, -978)
(905, -403)
(783, 74)
(-940, -103)
(-660, 289)
(-452, -167)
(-213, 974)
(-554, 35)
(-260, -828)
(964, -517)
(-453, 322)
(770, 844)
(-917, 170)
(873, -233)
(-376, 741)
(-708, -714)
(-906, -868)
(-860, 784)
(-825, 623)
(937, -253)
(-62, 71)
(-909, -402)
(-550, -130)
(178, 149)
(-350, 3)
(645, 19)
(465, 133)
(593, 707)
(-931, 436)
(-123, 168)
(-206, 738)
(9, 916)
(-687, 931)
(-671, -394)
(-241, 257)
(-52, -704)
(978, 811)
(316, 386)
(162, -123)
(-255, -307)
(-814, 962)
(182, 745)
(-320, -312)
(364, -965)
(526, 580)
(689, 291)
(552, -175)
(-488, 625)
(-865, 398)
(-876, -501)
(196, -245)
(841, -889)
(726, 728)
(458, 106)
(939, -305)
(-185, -492)
(247, 508)
(-927, 974)
(-763, -69)
(-375, -250)
(956, -614)
(665, 814)
(-809, 321)
(-310, 629)
(-423, -9)
(877, 895)
(423, -226)
(-237, 782)
(-812, -245)
(669, -354)
(-910, 145)
(-622, 792)
(-709, 250)
(-200, -158)
(579, 649)
(736, 440)
(545, 935)
(837, -278)
(-230, 953)
(255, -804)
(-378, -979)
(-526, 343)
(-670, 505)
(-841, -663)
(-600, 522)
(-382, 655)
(817, -978)
(-221, 555)
(-799, -572)
(1, 294)
(-920, 211)
(-39, 276)
(-215, -881)
(-837, 961)
(-342, 889)
(-127, -483)
(340, -745)
(-845, -521)
(919, 489)
(221, -910)
(-223, -244)
(697, -142)
(-393, -401)
(-727, -697)
(910, -397)
(141, -832)
(-908, 362)
(80, -435)
(224, -209)
(-725, 564)
(-843, -3)
(-432, 578)
(206, -964)
(-869, 588)
(5, -997)
(452, -192)
(-188, -749)
(802, -717)
(-511, 267)
(-356, 347)
(338, 226)
(671, -699)
(-687, -923)
(-572, -917)
(-549, 401)
(741, -16)
(-408, -296)
(-264, 960)
(-140, -818)
(249, 190)
(-533, -608)
(646, -591)
(-224, 361)
(-349, 240)
(464, -571)
(-207, -885)
(-931, -241)
(611, 644)
(173, -720)
(-85, -845)
(-869, -297)
(-240, 122)
(-770, 238)
(-135, -192)
(395, 986)
(112, -958)
(472, -788)
(-256, -358)
(-22, -756)
(350, -689)
(-224, -957)
(683, -225)
(-307, -768)
(426, 641)
(-235, 237)
(-192, -586)
(527, -293)
(464, 632)
(930, 368)
(322, 711)
(159, 216)
(-834, 277)
(-808, -896)
(-537, -938)
(-739, -739)
(-116, -560)
(-531, -947)
(-769, 908)
(-519, -5)
(-359, -232)
(510, 860)
(-354, 998)
(-685, -204)
(621, -673)
(583, -616)
(349, 588)
(297, 504)
(269, -318)
(-613, 809)
(-125, -225)
(-754, 276)
(-624, 983)
(-817, 61)
(593, 464)
(-719, 382)
(950, -569)
(-705, -285)
(-766, -544)
(-768, 695)
(-517, 116)
(801, 888)
(-574, -180)
(-64, 819)
(814, 891)
(-477, -691)
(804, -7)
(-168, 544)
(-844, -986)
(-730, -384)
(-316, 568)
(-845, -682)
(-837, 278)
(452, -535)
(-749, -796)
(-673, 814)
(664, 989)
(-224, 283)
(90, -651)
(190, -5)
(928, 969)
(-169, -530)
(235, 652)
(320, 794)
(-406, 881)
(890, 58)
(232, 204)
(923, 902)
(-8, 805)
(-969, 642)
(-853, 229)
(650, 99)
(814, -746)
(28, -121)
(-585, 465)
(13, 728)
(-370, -307)
(864, -377)
(620, 199)
(-610, -94)
(37, 862)
(-917, 838)
(-4, 645)
(833, -319)
(902, -551)
(-516, -864)
(-702, 184)
(392, 15)
(819, -898)
(605, -887)
(-600, 995)
(-357, -387)
(-644, -750)
(586, 897)
(-70, 826)
(629, -30)
(-743, -879)
(-477, 567)
(-976, -861)
(-52, 395)
(-834, -334)
(-540, -341)
(689, -923)
(89, -744)
(-612, 368)
(-49, -896)
(379, -158)
(900, 733)
(-53, -884)
(-878, -471)
(-615, 461)
(564, -257)
(-341, 679)
(-354, 750)
(276, 783)
(-108, 827)
(-921, 542)
(-538, 240)
(211, 184)
(-980, 887)
(-595, 287)
(746, -55)
(-251, 268)
(-183, -550)
(457, 338)
(-203, -62)
(-957, -917)
(224, -173)
(-247, 21)
(644, -871)
(669, 971)
(39, 666)
(-605, 106)
(230, 592)
(-76, 527)
(-202, -742)
(212, 821)
(-770, 105)
(-368, 4)
(765, -145)
(-948, -551)
(846, -729)
(-40, -469)
(343, 720)
(455, -738)
(-310, 423)
(-26, 565)
(141, 235)
(42, -579)
(-715, 735)
(-156, -968)
(-749, 832)
(93, 138)
(-204, -367)
(-697, 546)
(147, 60)
(81, -613)
(-465, 378)
(598, 527)
(8, 278)
(-838, 862)
(246, 993)
(-838, 528)
(-480, -372)
(734, -951)
(-975, -446)
(-999, 75)
(180, -591)
(231, -361)
(-624, -774)
(308, -329)
(519, 536)
(470, -796)
(-677, 68)
(781, 925)
(-534, 125)
(333, -688)
(15, -518)
(535, 450)
(-499, 256)
(699, -825)
(-579, 898)
(-681, -269)
(321, 556)
(77, -827)
(-532, 469)
(-759, -245)
(-935, -875)
(466, -355)
(-920, 573)
(-502, 163)
(-343, -510)
(-363, 188)
(-684, -871)
(-763, 340)
(-285, 257)
(953, -212)
(-635, 223)
(996, -714)
(493, 104)
(216, 35)
(947, -922)
(494, 60)
(138, -876)
(-228, 374)
(-794, -717)
(563, 603)
(-843, -436)
(-740, 744)
(-173, -813)
(134, -392)
(994, 359)
(249, 965)
(421, -724)
(103, -17)
(-301, -611)
(721, -260)
(-843, 324)
(-519, 158)
(-438, 81)
(-541, 260)
(-32, -566)
(413, -890)
(-12, -705)
(223, -933)
(-322, -137)
(117, 542)
(249, -334)
(879, -661)
(892, 80)
(-355, 777)
(-663, -265)
(-596, 446)
(-699, 710)
(519, 690)
(-649, 323)
(-422, 427)
(244, -4)
(1000, -492)
(817, 414)
(-311, 834)
(655, 267)
(418, 221)
(456, 729)
(573, -892)
(862, 533)
(428, 635)
(376, -975)
(-171, 413)
(817, -743)
(-761, -917)
(440, -834)
(832, -347)
(-27, 178)
(232, -393)
(650, 435)
(341, -522)
(-810, -345)
(2, -84)
(-363, 358)
